[17-Nov-2020 18:54:51 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 18:56:52 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 18:56:52 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 18:56:57 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 18:56:57 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 18:58:59 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 18:58:59 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 18:59:03 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 18:59:03 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:06:26 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:06:26 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:06:40 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:06:40 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:08:10 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:08:10 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
